No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
203,Tourism and Hospitality Studies,,Total,Number,2998,2799,,13,50,128,438,995,2059,2547,252
204,Tourism and Hospitality Studies,,Total,Percentage,,,88.2,0.5%,1.8%,4.6%,15.6%,35.5%,73.6%,91.0%,9.0%
205,Visual Arts,,Male,Number,847,761,,3,11,34,114,259,562,712,49
206,Visual Arts,,Male,Percentage,,,84.4,0.4%,1.4%,4.5%,15.0%,34.0%,73.9%,93.6%,6.4%
207,Visual Arts,,Female,Number,2549,2457,,21,77,200,690,1421,2184,2384,73
208,Visual Arts,,Female,Percentage,,,82.3,0.9%,3.1%,8.1%,28.1%,57.8%,88.9%,97.0%,3.0%
209,Visual Arts,,Total,Number,3396,3218,,24,88,234,804,1680,2746,3096,122
210,Visual Arts,,Total,Percentage,,,82.8,0.7%,2.7%,7.3%,25.0%,52.2%,85.3%,96.2%,3.8%
211,All Category A subjects#,,Male,Number,126140,122216,,1735,6526,16056,42193,72482,102474,115320,6896
212,All Category A subjects#,,Male,Percentage,,,56.1,1.4%,5.3%,13.1%,34.5%,59.3%,83.8%,94.4%,5.6%
213,All Category A subjects#,,Female,Number,123360,120813,,1642,6690,16762,47436,79172,106495,116531,4282
214,All Category A subjects#,,Female,Percentage,,,50.6,1.4%,5.5%,13.9%,39.3%,65.5%,88.1%,96.5%,3.5%
215,All Category A subjects#,,Total,Number,249500,243029,,3377,13216,32818,89629,151654,208969,231851,11178
216,All Category A subjects#,,Total,Percentage,,,53.4,1.4%,5.4%,13.5%,36.9%,62.4%,86.0%,95.4%,4.6%
